INDEX,YEAR,MN,DT,HR,SLP,MSLP,DBT,WBT,DPT,RH,DD,FFF,RF,EVP
43057,2010,1,25,12,1012.6,1013.8,22.0,19.0,17.1,074,00,000,0.0,006
43057,2010,1,26,12,1013.6,1014.8,22.2,19.0,17.0,072,07,006,0.0,008
43057,2010,1,27,12,1013.6,1014.8,21.0,20.8,20.7,098,07,004,0.0,008
43057,2010,1,28,12,1013.7,1014.9,23.0,19.6,17.5,071,07,006,0.0,010
43057,2010,1,29,12,1014.5,1015.7,23.0,19.2,16.8,068,07,006,0.0,008
43057,2010,1,30,12,1013.4,1014.6,23.8,20.4,18.4,072,07,004,0.0,008
43057,2010,1,31,12,1013.2,1014.4,22.6,20.8,19.8,084,07,002,0.0,008
43057,2010,1,1,48,1008.6,1009.8,28.0,24.0,22.1,070,34,006,0.0,008
43057,2010,1,2,48,1010.6,1011.8,29.0,25.4,23.8,074,32,006,0.0,008
43057,2010,1,3,48,1011.5,1012.7,26.0,23.0,21.5,076,34,010,0.0,008
43057,2010,1,4,48,1010.5,1011.7,25.6,21.0,18.4,064,34,008,0.0,010
43057,2010,1,5,48,1008.4,1009.6,26.6,23.0,21.2,072,34,004,0.0,010
43057,2010,1,6,48,1008.1,1009.5,28.0,24.4,22.7,073,34,004,0.0,008
43057,2010,1,7,48,1009.0,1010.2,29.0,22.4,18.8,054,00,000,0.0,012
43057,2010,1,8,48,1009.6,1010.8,27.4,22.2,19.4,062,34,004,0.0,012
43057,2010,1,9,48,1009.5,1010.7,28.4,21.8,18.1,054,32,004,0.0,010
43057,2010,1,10,48,1009.6,1010.8,28.0,24.2,22.4,072,34,004,0.0,012
43057,2010,1,11,48,1009.6,1010.8,28.4,25.8,24.7,080,23,004,0.0,010
43057,2010,1,12,48,1011.9,1013.1,27.2,23.4,21.5,071,34,006,0.0,010
43057,2010,1,13,48,1014.0,1015.2,25.4,17.4,11.3,041,32,006,0.0,010
43057,2010,1,14,48,1013.0,1014.2,26.0,21.0,18.1,062,34,010,0.0,010
43057,2010,1,15,48,1013.6,1014.8,27.2,23.2,21.2,070,34,008,0.0,012
43057,2010,1,16,48,1014.4,1015.6,28.6,26.2,25.2,082,29,004,0.0,012
43057,2010,1,17,48,1014.5,1015.7,29.2,19.4,12.6,036,34,006,0.0,014
43057,2010,1,18,48,1013.2,1014.4,26.8,22.0,19.4,064,34,004,0.0,012
43057,2010,1,19,48,1010.7,1011.9,28.4,22.4,19.2,057,34,006,0.0,014
43057,2010,1,20,48,1012.4,1013.6,29.0,23.0,19.9,058,34,006,0.0,014
43057,2010,1,21,48,1011.0,1012.2,27.8,23.8,21.9,070,34,006,0.0,010
43057,2010,1,22,48,1011.3,1012.5,28.2,23.0,20.3,062,29,004,0.0,012
43057,2010,1,23,48,1011.1,1012.3,27.6,22.4,19.6,062,29,004,0.0,014
43057,2010,1,24,48,1010.2,1011.4,27.0,22.2,19.6,064,29,006,0.0,012
43057,2010,1,25,48,1010.4,1011.6,27.2,21.6,18.4,059,34,006,0.0,010
43057,2010,1,26,48,1011.2,1012.4,29.0,22.4,18.8,054,29,004,0.0,014
43057,2010,1,27,48,1011.5,1012.7,28.0,21.8,18.3,056,34,006,0.0,010
43057,2010,1,28,48,1011.8,1013.0,27.6,21.6,18.2,057,34,014,0.0,012
43057,2010,1,29,48,1011.7,1012.9,28.0,21.6,18.0,054,34,006,0.0,012
43057,2010,1,30,48,1011.8,1013.0,28.0,23.0,20.4,063,34,008,0.0,012
43057,2010,1,31,48,1011.6,1012.8,29.0,21.8,17.7,051,29,004,0.0,014
43057,2010,2,1,12,1013.0,1014.2,23.0,22.6,22.4,096,00,000,0.0,008
43057,2010,2,2,12,1012.6,1013.8,22.8,21.4,20.7,088,07,002,0.0,008
43057,2010,2,3,12,1012.0,1013.8,23.6,22.4,21.8,090,34,002,0.0,008
43057,2010,2,4,12,1013.4,1014.6,22.2,22.0,21.9,098,00,000,0.0,010
43057,2010,2,5,12,1013.8,1015.0,21.4,21.0,20.8,096,00,000,0.0,010
43057,2010,2,6,12,1013.3,1014.5,23.0,22.6,22.4,096,07,002,0.0,006
43057,2010,2,7,12,1013.4,1014.6,23.6,22.2,21.5,088,07,006,0.0,010
43057,2010,2,8,12,1012.0,1013.2,23.6,21.2,19.9,080,11,002,0.0,010
43057,2010,2,9,12,1011.0,1012.2,23.8,23.4,23.2,096,00,000,0.0,008
43057,2010,2,10,12,1011.6,1012.8,24.0,22.8,22.2,090,02,002,0.0,008
43057,2010,2,11,12,1012.3,1013.5,23.4,20.0,18.0,072,34,006,0.0,012
43057,2010,2,12,12,1013.5,1014.7,23.2,22.2,21.7,091,07,002,0.0,008
43057,2010,2,13,12,1012.8,1014.0,23.2,21.0,19.9,083,34,004,0.0,008
43057,2010,2,14,12,1011.0,1012.2,23.4,19.2,16.6,065,34,004,0.0,010
43057,2010,2,15,12,1010.9,1012.1,23.0,19.2,16.8,068,00,000,0.0,010
43057,2010,2,16,12,1011.5,1012.7,23.4,17.2,12.6,051,34,002,0.0,010
43057,2010,2,17,12,1012.2,1013.4,23.6,18.6,15.3,060,00,000,0.0,010
43057,2010,2,18,12,1011.1,1012.3,21.8,19.0,17.3,075,00,000,0.0,010
43057,2010,2,19,12,1012.0,1013.2,22.8,22.4,22.2,096,00,000,0.0,010
43057,2010,2,20,12,1012.0,1013.2,22.2,21.6,21.3,094,00,000,0.0,010
43057,2010,2,21,12,1012.1,1013.3,23.2,22.6,22.4,096,11,002,0.0,010
43057,2010,2,22,12,1012.1,1013.3,25.0,24.0,23.5,092,00,000,0.0,012
43057,2010,2,23,12,1011.5,1012.7,24.0,23.0,22.5,091,00,000,0.0,010
43057,2010,2,24,12,1011.4,1012.6,23.0,21.6,20.9,088,02,002,0.0,010
43057,2010,2,25,12,1011.5,1012.7,21.4,20.2,19.5,089,00,000,0.0,010
43057,2010,2,26,12,1011.8,1013.0,22.6,21.0,20.1,086,00,000,0.0,010
43057,2010,2,27,12,1011.1,1012.3,23.4,22.8,22.5,095,11,002,0.0,010
43057,2010,2,28,12,1010.5,1011.7,24.6,21.8,20.3,077,00,000,0.0,014
43057,2010,2,1,48,1011.1,1012.3,27.0,23.4,21.6,073,34,020,0.0,014
43057,2010,2,2,48,1010.4,1011.6,26.8,23.2,21.4,072,32,006,0.0,012
43057,2010,2,3,48,1010.5,1011.7,26.6,20.6,17.0,056,29,006,0.0,012
43057,2010,2,4,48,1011.5,1012.7,26.4,20.8,17.5,058,34,026,0.0,012
43057,2010,2,5,48,1010.8,1012.0,27.0,24.4,23.2,080,29,008,0.0,012
43057,2010,2,6,48,1010.9,1012.1,29.4,23.6,20.7,059,29,004,0.0,016
43057,2010,2,7,48,1010.6,1011.8,30.2,24.6,21.9,061,25,004,0.0,016
43057,2010,2,8,48,1009.7,1010.3,27.4,24.8,23.6,080,29,010,0.0,014
43057,2010,2,9,48,1009.5,1010.7,27.8,21.0,17.0,052,29,006,0.0,012
43057,2010,2,10,48,1010.0,1011.2,25.8,22.2,20.3,072,34,006,0.0,012
43057,2010,2,11,48,1011.1,1012.3,26.0,21.4,18.8,064,32,030,0.0,014
43057,2010,2,12,48,1011.2,1012.7,27.0,21.2,18.2,059,29,004,0.0,012
43057,2010,2,13,48,1009.8,1011.0,27.0,20.8,17.1,055,34,006,0.0,014
43057,2010,2,14,48,1009.0,1010.2,27.4,20.0,15.3,047,34,008,0.0,016
43057,2010,2,15,48,1008.5,1009.7,27.2,20.8,17.0,054,34,008,0.0,018
43057,2010,2,16,48,1009.7,1010.9,27.6,20.2,15.5,048,34,010,0.0,016
43057,2010,2,17,48,1010.0,1011.2,27.4,21.0,17.2,054,34,010,0.0,016
43057,2010,2,18,48,1009.5,1010.7,27.6,24.0,22.4,074,32,008,0.0,018
43057,2010,2,19,48,1010.0,1011.2,27.4,22.8,20.4,066,29,006,0.0,016
43057,2010,2,20,48,1010.0,1011.2,28.0,24.6,23.0,074,29,004,0.0,018
43057,2010,2,21,48,1010.0,1011.2,28.4,25.0,23.5,075,29,004,0.0,018
43057,2010,2,22,48,1009.5,1010.7,28.0,21.6,18.0,054,32,004,0.0,014
43057,2010,2,23,48,1009.4,1010.6,27.0,22.4,20.0,065,29,006,0.0,016
43057,2010,2,25,48,1008.8,1010.0,26.2,22.0,19.7,068,32,010,0.0,022
43057,2010,2,26,48,1009.0,1010.2,28.2,23.8,21.6,058,29,008,0.0,020
43057,2010,2,27,48,1008.3,1009.5,30.4,21.8,16.8,044,34,008,0.0,020
43057,2010,2,28,48,1008.3,1009.5,30.0,23.6,20.3,056,34,008,0.0,020
43057,2010,3,1,12,1011.1,1012.3,25.8,24.4,23.8,080,11,002,0.0,012
43057,2010,3,2,12,1011.1,1012.3,25.0,23.8,23.2,090,14,002,0.0,014
43057,2010,3,3,12,1011.2,1012.4,24.6,24.2,24.0,096,00,000,0.0,010
43057,2010,3,4,12,1010.7,1011.9,24.2,23.4,23.0,093,00,000,0.0,014
43057,2010,3,5,12,1011.4,1012.6,24.2,23.4,23.0,093,00,000,0.0,010
43057,2010,3,6,12,1011.6,1012.8,24.6,24.2,24.0,096,00,000,0.0,010
43057,2010,3,7,12,1014.0,1015.2,24.6,22.2,21.0,080,02,002,0.0,010
43057,2010,3,8,12,1012.6,1013.8,25.2,23.2,22.2,084,34,002,0.0,012
43057,2010,3,9,12,1012.0,1013.2,25.0,19.2,15.1,055,00,000,0.0,014
43057,2010,3,10,12,1010.7,1011.9,26.2,22.6,20.7,072,00,000,0.0,014
43057,2010,3,11,12,1012.1,1013.3,27.4,26.6,26.3,094,00,000,0.0,010
43057,2010,3,12,12,1014.5,1015.7,27.2,26.4,26.1,092,00,000,0.0,014
43057,2010,3,13,12,1012.6,1013.8,27.0,24.4,23.2,080,00,000,0.0,014
43057,2010,3,14,12,1011.6,1012.8,26.0,25.0,24.6,092,14,004,0.0,014
43057,2010,3,15,12,1011.4,1012.6,25.0,24.2,23.8,093,11,002,0.0,012
43057,2010,3,16,12,1010.9,1012.1,24.4,23.8,23.5,095,07,002,0.0,010
43057,2010,3,17,12,1012.1,1013.3,25.4,24.8,24.5,095,11,002,0.0,012
43057,2010,3,18,12,1012.6,1013.8,26.4,25.8,25.5,095,11,006,0.0,014
43057,2010,3,19,12,1012.0,1013.2,28.0,27.4,27.2,095,00,000,0.0,012
43057,2010,3,20,12,1011.1,1012.3,27.8,26.6,26.1,090,00,000,0.0,012
43057,2010,3,21,12,1009.6,1010.8,27.6,27.0,26.8,095,11,004,0.0,012
43057,2010,3,22,12,1008.0,1009.2,26.6,26.0,25.7,095,00,000,0.0,012
43057,2010,3,23,12,1006.4,1007.6,26.8,23.8,22.4,077,34,002,0.0,012
43057,2010,3,24,12,1007.5,1008.7,25.4,23.8,23.0,087,00,000,0.0,012
43057,2010,3,25,12,1008.4,1009.6,26.2,25.2,24.8,092,00,000,0.0,010
43057,2010,3,26,12,1008.7,1009.9,26.2,25.0,24.5,090,05,004,0.0,010
43057,2010,3,27,12,1009.1,1010.3,25.8,25.0,24.6,093,00,000,0.0,010
43057,2010,3,28,12,1009.5,1010.7,26.0,23.2,21.8,078,05,002,0.0,014
43057,2010,3,29,12,1010.3,1011.5,26.8,26.0,25.7,093,11,004,0.0,012
43057,2010,3,30,12,1010.6,1011.8,26.0,24.2,23.4,085,00,000,0.0,014
43057,2010,3,31,12,1010.5,1011.7,26.8,25.0,24.2,086,11,004,0.0,014
43057,2010,3,1,48,1008.9,1010.1,29.0,25.2,23.5,072,34,006,0.0,018
43057,2010,3,2,48,1008.5,1009.7,28.4,23.4,20.9,064,34,006,0.0,014
43057,2010,3,3,48,1008.6,1008.8,28.0,22.6,19.7,061,32,004,0.0,018
43057,2010,3,4,48,1009.3,1010.5,27.8,21.8,18.4,057,32,010,0.0,012
43057,2010,3,5,48,1009.1,1010.3,27.2,24.2,22.8,077,29,004,0.0,014
43057,2010,3,6,48,1010.9,1012.1,27.8,23.8,21.9,070,29,004,0.0,016
43057,2010,3,7,48,1011.1,1012.7,27.0,23.8,22.3,075,34,006,0.0,018
43057,2010,3,8,48,1012.6,1013.8,25.2,23.2,22.2,084,34,002,0.0,012
43057,2010,3,9,48,1012.0,1013.2,25.0,19.2,15.4,055,00,000,0.0,014
43057,2010,3,10,48,1010.7,1011.9,26.2,22.6,20.7,072,00,000,0.0,020
43057,2010,3,11,48,1011.0,1012.2,29.4,28.4,28.0,092,32,006,0.0,020
43057,2010,3,12,48,1010.0,1011.2,31.0,24.6,21.5,057,34,008,0.0,020
43057,2010,3,13,48,1009.0,1010.2,31.2,24.6,21.4,056,34,006,0.0,022
43057,2010,3,14,48,1009.4,1010.6,30.0,26.4,24.9,074,29,002,0.0,020
43057,2010,3,15,48,1008.9,1010.1,28.4,24.2,22.2,069,29,008,0.0,020
43057,2010,3,16,48,1008.6,1009.8,28.6,26.2,25.2,082,29,006,0.0,018
43057,2010,3,17,48,1009.4,1010.6,28.4,26.2,25.3,083,34,004,0.0,018
43057,2010,3,18,48,1009.6,1010.8,30.0,27.0,25.8,078,34,010,0.0,018
43057,2010,3,19,48,1009.2,1010.4,31.0,27.6,26.3,075,25,004,0.0,020
43057,2010,3,20,48,1008.4,1009.6,30.4,28.4,27.7,085,29,014,0.0,020
43057,2010,3,21,48,1005.8,1007.0,30.6,25.4,23.0,064,34,008,0.0,020
43057,2010,3,22,48,1005.0,1006.2,32.0,21.2,14.4,035,29,006,0.0,024
43057,2010,3,23,48,1005.0,1006.2,29.4,25.2,23.3,070,29,006,0.0,020
43057,2010,3,24,48,1006.0,1007.2,29.4,25.8,24.2,074,29,004,0.0,020
43057,2010,3,25,48,1006.0,1007.2,29.4,25.2,23.3,070,29,004,0.0,020
43057,2010,3,26,48,1006.5,1007.7,28.8,25.7,24.3,077,29,006,0.0,022
43057,2010,3,27,48,1008.0,1009.2,29.0,26.0,24.7,078,32,010,0.0,020
43057,2010,3,28,48,1006.7,1009.9,29.0,26.2,25.0,079,29,010,0.0,020
43057,2010,3,29,48,1007.5,1008.7,30.0,21.2,15.8,043,32,006,0.0,020
43057,2010,3,30,48,1008.4,1009.6,29.4,25.2,23.3,070,29,006,0.0,020
43057,2010,3,31,48,1008.5,1009.7,30.0,26.2,24.6,073,32,004,0.0,024
43057,2010,4,1,12,1010.1,1011.3,27.8,25.0,23.7,079,23,006,0.0,018
43057,2010,4,2,12,1009.5,1010.7,27.8,26.4,25.8,089,00,000,0.0,018
43057,2010,4,3,12,1009.6,1010.8,26.6,25.4,24.9,090,00,000,0.0,016
43057,2010,4,4,12,1010.0,1011.2,27.0,19.2,13.9,045,34,002,0.0,012
43057,2010,4,5,12,1009.6,1010.8,28.0,20.2,15.3,046,  ,004,0.0,012
43057,2010,4,6,12,1008.5,1009.7,27.4,23.0,20.8,067,00,000,0.0,012
43057,2010,4,7,12,1008.6,1009.8,28.4,26.8,26.2,088,11,002,0.0,014
43057,2010,4,8,12,1009.5,1010.7,29.0,28.0,27.6,092,11,002,0.0,010
43057,2010,4,9,12,1010.6,1011.8,29.4,27.6,26.9,087,00,000,0.0,010
43057,2010,4,10,12,1008.5,1009.7,28.2,27.6,27.4,095,00,000,0.0,010
43057,2010,4,11,12,1008.0,1009.2,27.8,25.6,24.6,083,00,000,0.0,010
43057,2010,4,12,12,1006.0,1007.8,28.2,23.2,20.7,064,34,002,0.0,016
43057,2010,4,13,12,1008.9,1009.2,28.0,25.2,23.9,079,00,000,0.0,014
43057,2010,4,14,12,1007.0,1008.2,28.0,27.2,26.8,092,11,002,0.0,012
43057,2010,4,15,12,1009.6,1010.8,29.0,27.2,26.5,086,00,000,0.0,014
43057,2010,4,16,12,1008.4,1009.6,29.4,28.4,28.0,092,14,006,0.0,010
43057,2010,4,17,12,1009.0,1010.2,28.8,27.8,27.4,092,00,000,0.0,014
43057,2010,4,18,12,1009.3,1010.5,29.6,28.6,28.2,092,11,004,0.0,016
43057,2010,4,19,12,1008.7,1009.9,29.2,28.2,27.8,092,11,004,0.0,014
43057,2010,4,20,12,1007.8,1009.0,29.0,27.4,26.8,088,00,000,0.0,016
43057,2010,4,21,12,1007.0,1008.8,29.2,27.8,27.3,089,11,002,0.0,016
43057,2010,4,22,12,1008.6,1009.8,29.4,27.2,26.3,083,29,004,0.0,014
43057,2010,4,23,12,1008.7,1009.9,29.6,26.6,25.4,078,00,000,0.0,014
43057,2010,4,25,12,1007.5,1008.7,29.6,26.8,25.7,079,00,000,0.0,014
43057,2010,4,26,12,1008.4,1009.6,30.0,26.6,25.2,075,02,004,0.0,014
43057,2010,4,27,12,1010.1,1011.3,30.0,27.4,26.4,081,14,002,0.0,014
43057,2010,4,28,12,1009.3,1010.9,30.2,28.6,28.0,088,20,002,0.0,014
43057,2010,4,29,12,1007.5,1008.7,30.0,28.6,28.1,089,25,002,0.0,016
43057,2010,4,30,12,1009.4,1010.6,29.0,28.0,27.6,092,00,000,0.3,019
43057,2010,4,1,48,1008.0,1009.2,30.4,26.2,24.4,070,29,010,0.0,020
43057,2010,4,2,48,1007.7,1008.9,30.2,26.8,25.4,076,29,006,0.0,024
43057,2010,4,3,48,1007.8,1009.0,32.2,26.2,23.6,060,34,002,0.0,024
43057,2010,4,4,48,1008.0,1009.2,30.4,27.2,25.9,077,34,008,0.0,022
43057,2010,4,5,48,1006.9,1008.1,31.8,25.8,23.1,060,34,004,0.0,026
43057,2010,4,6,48,1006.0,1007.2,30.6,26.4,24.6,070,29,006,0.0,022
43057,2010,4,7,48,1007.0,1008.2,30.4,27.0,25.6,076,29,006,0.0,020
43057,2010,4,8,48,1007.4,1008.6,31.0,29.2,28.6,087,23,010,0.0,022
43057,2010,4,9,48,1008.4,1009.6,30.2,29.0,28.6,091,00,000,0.0,014
43057,2010,4,10,48,1005.9,1007.1,30.0,27.2,26.1,080,32,006,0.0,012
43057,2010,4,11,48,1005.4,1006.6,31.4,23.4,19.2,048,29,008,0.0,022
43057,2010,4,12,48,1005.1,1006.3,31.0,28.6,27.7,083,32,004,0.0,020
43057,2010,4,13,48,1005.6,1006.8,31.4,26.8,24.9,068,25,006,0.0,026
43057,2010,4,14,48,1005.6,1006.8,31.2,28.0,26.8,077,29,010,0.0,020
43057,2010,4,15,48,1006.1,1007.3,31.2,28.2,27.1,079,29,006,0.0,020
43057,2010,4,16,48,1005.6,1006.8,31.4,28.4,27.3,079,29,006,0.0,020
43057,2010,4,17,48,1007.0,1008.2,33.0,28.2,26.3,068,29,004,0.0,022
43057,2010,4,18,48,1007.2,1008.4,31.8,28.6,27.4,077,25,008,0.0,024
43057,2010,4,19,48,1007.0,1008.2,32.0,27.6,25.8,070,25,006,0.0,020
43057,2010,4,20,48,1005.7,1006.9,32.2,27.0,24.8,065,25,006,0.0,024
43057,2010,4,21,48,1006.4,1007.6,31.4,27.8,26.4,075,29,008,0.0,020
43057,2010,4,22,48,1005.8,1007.0,30.4,28.0,27.1,083,29,024,0.0,026
43057,2010,4,23,48,1004.7,1005.9,32.0,29.4,28.5,082,29,014,0.0,020
43057,2010,4,24,48,1005.5,1006.7,32.4,28.8,27.5,075,29,006,0.0,022
43057,2010,4,25,48,1005.5,1006.7,32.0,27.2,25.2,068,29,008,0.0,026
43057,2010,4,26,48,1007.0,1008.2,31.8,29.0,28.0,080,32,006,0.0,020
43057,2010,4,27,48,1007.5,1008.7,32.0,29.4,28.2,082,29,008,0.0,024
43057,2010,4,28,48,1006.5,1007.7,32.0,28.6,27.3,076,29,006,0.0,020
43057,2010,4,29,48,1004.5,1005.7,32.4,29.2,28.0,078,27,014,0.0,024
43057,2010,4,30,48,1005.7,1006.9,33.4,28.6,26.8,068,29,006,0.0,024
43057,2010,5,1,12,1009.6,1010.8,30.2,28.4,27.7,087,00,000,0.0,018
43057,2010,5,2,12,1009.0,1010.2,30.0,27.2,26.1,080,11,002,0.0,018
43057,2010,5,3,12,1007.6,1008.8,29.8,27.8,27.0,085,20,002,0.0,016
43057,2010,5,4,12,1006.0,1007.2,30.0,26.4,24.9,074,07,002,0.0,016
43057,2010,5,5,12,1006.0,1007.2,29.6,27.4,26.5,084,29,004,0.0,016
43057,2010,5,6,12,1005.1,1006.9,30.0,27.8,26.9,084,34,004,0.0,018
43057,2010,5,7,12,1005.0,1006.2,30.8,28.8,28.1,085,00,000,0.0,020
43057,2010,5,8,12,1006.0,1007.2,31.0,29.6,29.1,090,00,000,0.0,018
43057,2010,5,9,12,1005.4,1006.6,31.0,27.6,26.3,076,34,002,0.0,018
43057,2010,5,10,12,1005.5,1006.7,30.2,29.4,29.1,094,14,002,0.0,018
43057,2010,5,11,12,1006.0,1007.2,30.4,28.4,27.7,085,34,006,0.0,018
43057,2010,5,12,12,1006.6,1007.8,29.4,28.6,28.3,094,11,004,0.0,016
43057,2010,5,13,12,1006.5,1007.7,30.0,27.2,26.1,080,29,002,0.0,018
43057,2010,5,14,12,1006.1,1007.3,30.2,27.4,26.3,080,00,000,0.0,020
43057,2010,5,16,12,1005.4,1006.6,30.0,27.4,26.4,081,00,000,0.0,018
43057,2010,5,17,12,1006.6,1007.8,30.6,27.8,26.7,080,34,004,0.0,018
43057,2010,5,18,12,1005.5,1006.7,30.4,28.8,28.2,088,00,000,0.0,018
43057,2010,5,19,12,1004.6,1005.8,30.8,29.2,28.6,088,25,006,0.0,018
43057,2010,5,20,12,1004.3,1005.5,30.4,28.8,28.2,088,00,000,0.0,016
43057,2010,5,21,12,1005.4,1006.4,31.0,29.4,28.8,088,00,000,0.0,018
43057,2010,5,22,12,1004.9,1006.1,31.2,29.6,29.0,088,25,004,0.0,   
43057,2010,5,23,12,1005.6,1006.8,31.2,29.4,28.8,087,29,004,0.0,018
43057,2010,5,24,12,1005.6,1006.8,31.2,28.6,27.6,081,25,002,0.0,018
43057,2010,5,25,12,1006.5,1007.1,31.4,29.0,28.1,083,29,006,0.0,018
43057,2010,5,26,12,1006.3,1007.5,31.4,29.2,28.4,084,25,006,0.0,018
43057,2010,5,27,12,1006.8,1008.0,32.0,29.8,29.0,084,27,006,0.0,018
43057,2010,5,28,12,1007.2,1008.4,31.8,29.0,28.0,080,00,000,0.0,018
43057,2010,5,29,12,1007.4,1008.6,31.6,29.4,28.6,084,29,004,0.0,018
43057,2010,5,30,12,1007.5,1008.7,31.0,27.4,26.0,075,29,006,0.0,018
43057,2010,5,31,12,1007.0,1008.2,31.0,29.2,28.6,087,11,004,0.0,018
43057,2010,5,1,48,1006.0,1007.2,31.8,27.4,25.6,070,29,006,0.0,024
43057,2010,5,2,48,1005.0,1006.2,31.2,28.0,26.8,077,29,012,0.0,024
43057,2010,5,3,48,1004.3,1005.5,32.0,28.2,26.7,074,29,006,0.0,020
43057,2010,5,4,48,1003.2,1004.4,31.2,28.0,26.8,077,29,010,0.0,026
43057,2010,5,5,48,1003.5,1004.7,31.4,28.6,27.6,080,29,010,0.0,024
43057,2010,5,6,48,1003.5,1004.7,31.4,28.2,27.0,077,32,010,0.0,024
43057,2010,5,7,48,1002.5,1003.7,31.8,29.4,28.5,083,32,040,0.0,020
43057,2010,5,8,48,1004.5,1005.7,33.0,29.2,27.8,074,29,008,0.0,022
43057,2010,5,9,48,1003.0,1004.2,32.6,28.8,27.4,074,29,006,0.0,024
43057,2010,5,10,48,1003.5,1004.7,33.4,29.8,28.5,076,29,010,0.0,022
43057,2010,5,11,48,1003.8,1005.0,32.0,27.0,24.9,066,32,008,0.0,024
43057,2010,5,12,48,1004.5,1005.7,33.0,28.2,26.3,068,29,006,0.0,026
43057,2010,5,13,48,1004.4,1005.6,33.0,28.2,26.3,068,29,006,0.0,020
43057,2010,5,15,48,1003.8,1005.0,33.4,27.6,25.2,062,29,008,0.0,028
43057,2010,5,16,48,1003.9,1005.1,33.2,28.2,26.3,067,29,006,0.0,026
43057,2010,5,17,48,1003.1,1004.3,32.4,28.6,27.2,074,29,010,0.0,026
43057,2010,5,18,48,1002.1,1003.3,33.0,28.2,26.3,068,29,010,0.0,026
43057,2010,5,19,48,1002.7,1003.9,32.0,29.2,28.2,080,29,006,0.0,026
43057,2010,5,20,48,1001.0,1002.2,32.0,29.2,28.2,080,29,014,0.0,024
43057,2010,5,21,48,1002.7,1003.9,32.6,29.4,28.2,078,29,006,0.0,   
43057,2010,5,22,48,1003.3,1004.5,33.0,29.4,28.1,075,29,004,0.0,026
43057,2010,5,23,48,1003.6,1004.8,33.0,29.4,28.1,075,29,006,0.0,026
43057,2010,5,24,48,1004.0,1005.2,33.4,28.6,26.8,068,25,006,0.0,026
43057,2010,5,25,48,1004.1,1005.3,33.8,29.4,27.8,071,25,004,0.0,028
43057,2010,5,26,48,1005.5,1006.7,34.0,29.6,28.0,071,25,010,0.0,026
43057,2010,5,27,48,1004.0,1005.2,34.0,29.4,27.7,070,27,010,0.0,022
43057,2010,5,28,48,1006.5,1006.8,33.8,28.8,26.9,067,29,006,0.0,026
43057,2010,5,29,48,1005.3,1006.5,33.2,28.2,26.3,067,29,006,0.0,028
43057,2010,5,30,48,1005.0,1006.2,33.4,27.6,25.2,062,29,008,0.0,026
43057,2010,5,31,48,1005.4,1006.6,34.0,28.6,26.5,065,25,006,0.0,024
43057,2010,6,1,12,1007.6,1008.8,30.0,28.0,27.2,085,14,006,1.1,018
43057,2010,6,2,12,1007.7,1008.9,30.8,29.4,28.9,090,11,004,0.0,016
43057,2010,6,3,12,1009.5,1010.7,30.8,28.6,27.8,084,27,004,0.0,018
43057,2010,6,4,12,1010.6,1011.8,31.6,28.0,26.6,075,00,000,0.0,020
